Date,Open,High,Low,Close,Volume,Open Interest
2017-10-20,0.0,0.0,0.0,29989.0,0.0,0.0
2017-10-23,0.0,0.0,0.0,30032.0,0.0,0.0
2017-10-24,0.0,0.0,0.0,1370.0,0.0,0.0
2017-10-25,0.0,0.0,0.0,29786.0,0.0,0.0
2017-10-26,0.0,0.0,0.0,29549.0,0.0,0.0
2017-10-27,0.0,0.0,0.0,1462.0,0.0,0.0
2017-10-30,0.0,0.0,0.0,47.0,0.0,0.0
2017-10-31,29692.0,29698.0,29490.0,29616.0,7.0,3.0
2017-12-04,0.0,0.0,0.0,29546.0,0.0,0.0
2017-12-05,0.0,0.0,0.0,29129.0,0.0,0.0
2017-12-06,0.0,0.0,0.0,29163.0,0.0,0.0
2017-12-07,0.0,0.0,0.0,577.0,0.0,1.0
2017-12-08,0.0,0.0,0.0,678.0,0.0,0.0
2017-12-11,0.0,0.0,0.0,725.5,0.0,0.0
2017-12-12,0.0,0.0,0.0,20.0,0.0,0.0
2017-12-13,0.0,0.0,0.0,1651.5,0.0,0.0
2017-12-14,0.0,0.0,0.0,2104.5,0.0,0.0
2017-12-15,0.0,0.0,0.0,28274.0,0.0,0.0
2017-12-18,0.0,0.0,0.0,28494.0,0.0,10.0
2017-12-19,0.0,0.0,0.0,28543.0,0.0,0.0
2017-12-20,0.0,0.0,0.0,264.0,0.0,0.0
2017-12-21,0.0,0.0,0.0,1969.0,0.0,0.0
2017-12-22,0.0,0.0,0.0,219.5,0.0,0.0
2017-12-26,0.0,0.0,0.0,1516.0,0.0,0.0
2017-12-27,0.0,0.0,0.0,227.5,0.0,0.0
2017-12-28,0.0,0.0,0.0,761.0,0.0,0.0
2017-12-29,0.0,0.0,0.0,513.5,0.0,0.0
2018-01-17,29801.0,29829.0,29680.0,29757.0,6266.0,5920.0
2018-01-18,29650.0,29700.0,29550.0,29645.0,6349.0,5949.0
2018-01-19,29601.0,29780.0,29595.0,29755.0,5567.0,6096.0
2018-01-22,29699.0,29863.0,29699.0,29834.0,7057.0,5958.0
2018-01-23,29873.0,29932.0,29781.0,29911.0,6740.0,5824.0
2018-01-24,29935.0,30291.0,29916.0,30249.0,9179.0,5859.0
2018-01-25,30300.0,30464.0,30170.0,30361.0,7039.0,5273.0
2018-01-29,30150.0,30150.0,29980.0,30060.0,6910.0,4330.0
2018-01-30,29978.0,30170.0,29954.0,30052.0,8577.0,3727.0
2018-01-31,30069.0,30167.0,30052.0,30117.0,5951.0,2219.0
2018-02-01,30189.0,30570.0,30041.0,30505.0,1535.0,1379.0
2018-02-02,30660.0,30720.0,30244.0,30367.0,772.0,947.0
2018-02-05,30250.0,30374.0,30203.0,30293.0,6739.0,8735.0
2018-02-06,30350.0,30714.0,30165.0,30187.0,11151.0,8269.0
2018-02-07,30223.0,30250.0,29972.0,29995.0,8267.0,7661.0
2018-02-08,29950.0,30173.0,29805.0,30107.0,9845.0,7743.0
2018-02-09,30055.0,30102.0,29891.0,30009.0,9133.0,7446.0
2018-02-12,30118.0,30178.0,30030.0,30152.0,5844.0,7505.0
2018-02-13,30200.0,30250.0,30102.0,30218.0,3229.0,7397.0
2018-02-14,30250.0,30687.0,30043.0,30624.0,11438.0,7912.0
2018-02-15,30641.0,30681.0,30531.0,30579.0,8334.0,7838.0
2018-02-16,30650.0,30839.0,30650.0,30816.0,9077.0,7948.0
2018-02-19,30763.0,30792.0,30725.0,30742.0,4282.0,7826.0
2018-02-20,30629.0,30774.0,30511.0,30532.0,9447.0,7370.0
2018-02-21,30451.0,30539.0,30387.0,30476.0,7870.0,7171.0
2018-02-22,30459.0,30590.0,30400.0,30573.0,7361.0,7267.0
2018-02-23,30501.0,30525.0,30427.0,30509.0,5680.0,7222.0
2018-02-26,30526.0,30644.0,30501.0,30531.0,6992.0,7493.0
2018-02-27,30540.0,30610.0,30272.0,30295.0,9754.0,6962.0
2018-02-28,30310.0,30446.0,30287.0,30379.0,7480.0,7069.0
2018-03-01,30320.0,30320.0,30119.0,30165.0,7914.0,6697.0
2018-03-02,30250.0,30528.0,30250.0,30448.0,4867.0,7151.0
2018-03-05,30460.0,30548.0,30341.0,30352.0,6147.0,6839.0
2018-03-06,30397.0,30687.0,30362.0,30573.0,9734.0,7331.0
2018-03-07,30650.0,30650.0,30394.0,30474.0,8202.0,7000.0
2018-03-08,30477.0,30546.0,30396.0,30429.0,7262.0,6708.0
2018-03-09,30384.0,30470.0,30280.0,30401.0,9749.0,6418.0
2018-03-12,30403.0,30427.0,30267.0,30332.0,6405.0,6149.0
2018-03-13,30322.0,30409.0,30237.0,30377.0,9859.0,5907.0
2018-03-14,30420.0,30546.0,30356.0,30405.0,8373.0,5909.0
2018-03-15,30433.0,30473.0,30264.0,30299.0,7747.0,5669.0
2018-03-16,30255.0,30349.0,30145.0,30224.0,9014.0,5374.0
2018-03-19,30180.0,30439.0,30095.0,30418.0,9868.0,5487.0
2018-03-20,30351.0,30356.0,30185.0,30263.0,9257.0,4881.0
2018-03-21,30270.0,30525.0,30251.0,30449.0,9824.0,5168.0
2018-03-22,30530.0,30615.0,30465.0,30493.0,9251.0,5136.0
2018-03-23,30625.0,30950.0,30625.0,30907.0,10931.0,5074.0
2018-03-26,30855.0,30929.0,30760.0,30902.0,7561.0,4745.0
2018-03-27,30864.0,30904.0,30664.0,30699.0,10547.0,3572.0
2018-03-28,30775.0,30775.0,30500.0,30521.0,7546.0,2473.0
2018-03-29,30546.0,30550.0,30378.0,30408.0,2569.0,1530.0
2018-04-02,30545.0,30995.0,30521.0,30931.0,1748.0,382.0
2018-04-03,30681.0,30899.0,30582.0,30634.0,299.0,254.0
2018-04-04,30765.0,30970.0,30550.0,30722.0,58.0,206.0
2018-04-05,30780.0,30780.0,30525.0,30547.0,10825.0,7752.0
2018-04-06,30640.0,30749.0,30500.0,30694.0,11829.0,7964.0
2018-04-09,30659.0,30779.0,30642.0,30759.0,6704.0,7924.0
2018-04-10,30701.0,30936.0,30675.0,30900.0,7422.0,8411.0
2018-04-11,30950.0,31562.0,30931.0,31355.0,13411.0,10146.0
2018-04-12,31306.0,31335.0,30965.0,31002.0,10875.0,8716.0
2018-04-13,31031.0,31185.0,30870.0,31118.0,8391.0,8463.0
2018-04-16,31200.0,31355.0,31155.0,31298.0,8136.0,8637.0
